division_id,kpi_id,period_id,year,target,realization
3,9,13,2016,9,8
3,9,14,2016,9,9
3,9,15,2016,9,9
3,9,16,2016,9,9
3,9,13,2017,9,9
3,9,14,2017,9,9
3,9,15,2017,9,9
3,9,16,2017,9,9
3,9,13,2018,9,9
3,9,14,2018,9,11
3,9,15,2018,9,11
3,9,16,2018,9,11
3,9,13,2019,9,9
3,9,14,2019,9,9
3,9,15,2019,9,9
3,9,16,2019,9,9
3,9,13,2020,9,9
3,9,14,2020,9,10
3,9,15,2020,9,10
3,9,16,2020,9,10
3,9,13,2021,9,11
3,9,14,2021,9,10
3,9,15,2021,9,9
3,9,16,2021,9,9
3,9,13,2022,9,10
3,9,14,2022,9,10
3,9,15,2022,9,10
3,9,16,2022,9,10
3,9,13,2023,9,10
3,9,14,2023,9,9
3,9,15,2023,9,9
3,9,16,2023,9,11
3,9,13,2024,9,12
3,9,14,2024,9,12
3,9,15,2024,9,12
3,9,16,2024,9,12
3,9,13,2025,9,14
3,9,14,2025,9,16
3,9,15,2025,9,17
3,9,16,2025,9,15
3,9,13,2026,9,16
